"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2025","61.84","62.35","62.75","61.62","12.99M","-0.67%"
"12/31/2024","62.26","62.02","62.43","61.80","9.26M","0.37%"
"12/30/2024","62.03","62.34","62.34","61.68","8.97M","-0.67%"
"12/27/2024","62.45","62.45","62.95","62.21","8.54M","-0.19%"
"12/26/2024","62.57","62.62","62.74","62.40","7.95M","-0.43%"
"12/24/2024","62.84","62.20","62.84","62.01","5.02M","0.74%"
"12/23/2024","62.38","62.50","62.76","61.53","13.01M","-0.27%"
"12/20/2024","62.55","62.47","63.06","62.28","42.46M","0.16%"
"12/19/2024","62.45","62.70","63.17","62.40","21.30M","-0.64%"
"12/18/2024","62.85","62.81","63.64","62.79","20.95M","-0.87%"
"12/17/2024","63.40","62.45","63.55","62.32","21.90M","1.36%"
"12/16/2024","62.55","63.23","63.86","62.35","24.56M","-0.90%"
"12/13/2024","63.12","63.57","63.83","63.11","13.43M","-1.13%"
"12/12/2024","63.84","63.55","63.92","63.22","17.54M","1.92%"
"12/11/2024","62.64","63.00","63.63","62.40","32.82M","-0.43%"
"12/10/2024","62.91","62.70","63.04","61.79","14.95M","0.50%"
"12/09/2024","62.60","62.69","62.93","61.90","22.35M","0.11%"
"12/06/2024","62.53","62.83","63.36","62.51","15.58M","-0.62%"
"12/05/2024","62.92","62.47","63.12","62.10","21.04M","1.14%"
"12/04/2024","62.21","63.28","63.35","61.90","28.14M","-2.06%"
"12/03/2024","63.52","63.72","64.08","63.03","24.87M","-0.20%"